level,segment,class,MAE,RMSE,WAPE,Bias,MASE,RMSSE,n_obs
portfolio,portfolio,ALL,4.2378676705608935,5.638536866001354,0.33519479587633016,0.06937863490525488,0.7324571152671523,0.7146316930347617,10028
class,AX,AX,5.232086237447483,6.764591046290039,0.2923393943771704,-0.7179709970336678,0.6807433479943257,0.6838416384214198,2668
class,AY,AY,4.560020898939778,5.926216484161504,0.31020067447644506,-0.5658557124230987,0.6839092578905497,0.675264537930737,3496
class,AZ,AZ,2.739485198457515,3.4261150866885637,0.4386991092394976,1.4935141063705284,0.7551789163191949,0.7310458328974954,184
class,BZ,BZ,3.039697386003093,3.6754743078478014,0.4853948614538612,1.4823797746115632,0.8148535814038126,0.7634771111287499,1380
class,CX,CX,7.309782608695652,9.315718367128333,0.3835733637530301,-0.13043478260869565,0.9429009603258159,0.9429453556173505,368
class,CZ,CZ,2.6953675916049926,3.313833834402507,0.48048073325160046,1.1992838804403416,0.7906167274973521,0.7484459442859139,1932
sku,SKU0001,CZ,2.125357554752413,2.6480128113983668,0.47116360249933015,1.0012017638387751,0.7247344307493531,0.7041333957878845,92
sku,SKU0003,CZ,2.6145250953263415,3.1458840881134233,0.474430589289987,1.1886453648158224,0.7747640551872763,0.7364748345007246,92
sku,SKU0005,AY,4.354594790196342,5.391264572429234,0.27667314965335876,-0.20769584981984765,0.5894825962540349,0.5812967433175039,92
sku,SKU0007,AX,6.166813229217395,7.984240484813976,0.27289409191342007,-1.0070671767693355,0.6360211510250077,0.6615692747570011,92
sku,SKU0008,CZ,2.4913011523163475,2.9510867369447342,0.5922473023594418,1.2650689260156478,0.857771254818041,0.7831630405073593,92
sku,SKU0010,AX,4.940003656295679,6.415205772419872,0.30018516273395146,-0.6159610819327549,0.6433399331938443,0.6729426900946657,92
sku,SKU0011,CZ,3.042899061848888,3.5772804062476116,0.568997385548979,1.2691575148884637,0.8844508434895629,0.7957677449851867,92
sku,SKU0012,AY,6.3560624666278525,7.954972312095225,0.2851086040613176,-1.2383220533729051,0.6929541786925102,0.6869398323530933,92
sku,SKU0013,BZ,2.61307095690068,3.167803314576217,0.4760446099700249,1.2932172205056531,0.7721812276529105,0.7254583630818447,92
sku,SKU0015,AX,3.9848258872142033,5.126208576566433,0.28843743636798325,-0.7281001628939731,0.6736404123059517,0.6836993077689973,92
sku,SKU0016,CX,8.445652173913043,11.38314925477663,0.36427566807313644,-0.20652173913043478,0.9245583539733222,0.9929241112881348,92
sku,SKU0017,BZ,2.805576802722412,3.327043896988048,0.4992515780473151,1.0700822488871335,0.7980196166459647,0.7364558238469755,92
sku,SKU0021,AY,2.6897572565208456,3.246291659047645,0.40368298140280223,0.6838972987404659,0.6247051800729158,0.5897232493041881,92
sku,SKU0022,AY,4.836263167969443,5.8284381695251755,0.297815402579109,-0.12137592054829158,0.6390919430746697,0.59824182296811,92
sku,SKU0023,CZ,2.2969233076641684,2.772173839544495,0.5446312997554213,1.2267677014591214,0.8364366839553307,0.8078914474256157,92
sku,SKU0024,AX,3.29680753933041,4.038783560329017,0.3008991008119025,-0.469961747792963,0.6756708031136529,0.6378508494329537,92
sku,SKU0026,AY,3.2884760097912404,4.141079936855668,0.351381873287798,-0.48291175288960686,0.6626808888966554,0.6674362216754298,92
sku,SKU0028,AX,6.10172124174058,7.630545885718598,0.28380098798793396,-0.5559256041858154,0.6478445918173555,0.6324155011135401,92
sku,SKU0029,AY,3.663814147464286,4.5016968066227925,0.336734167399315,-0.35735618940769226,0.6715062987883408,0.6577486279002677,92
sku,SKU0031,AY,4.633390869113233,5.5896188846077095,0.3340689341366908,-1.1362682232127355,0.7416215189398502,0.7137725000028475,92
sku,SKU0032,CZ,2.607886157542134,3.180505136836061,0.4741611195531153,1.0173540634026375,0.8006888202655831,0.7745343278552138,92
sku,SKU0033,AY,2.731774081542247,3.313859533111793,0.3616161374127866,-0.06836574578811809,0.6562017560331149,0.6220956500918319,92
sku,SKU0034,CZ,2.9296704349669067,3.4306531454002727,0.4991290370684359,0.8908608870826495,0.9082263058838127,0.833517039492316,92
sku,SKU0037,AX,4.657515426094313,5.716666497180147,0.27824118129914077,-0.4897808817425204,0.681066890178357,0.6552535543779029,92
sku,SKU0040,BZ,3.234965911110444,3.7949568261455706,0.4529937044477334,1.8694043484416183,0.7661129366326885,0.7161378893171172,92
sku,SKU0042,AY,5.272232083151473,6.622542310988012,0.29166888253153067,-0.7607571156980274,0.7410628043733509,0.7374021675420835,92
sku,SKU0043,CZ,2.569853733865979,3.1133956092507757,0.467246133430178,1.1472113224446283,0.7686669865009351,0.7217128103517213,92
sku,SKU0045,CZ,2.484869804630354,2.9251183229553903,0.4430388023759546,1.0286835231260612,0.6990065852531595,0.6464213498331423,92
sku,SKU0046,AX,4.436539890228165,5.410195266897601,0.334833199262503,0.02933410803570364,0.6809026822144741,0.6573945827854972,92
sku,SKU0049,AY,3.86001506974389,4.9236916191780296,0.30300459591846235,-0.4675685846903909,0.6581212224737044,0.6608291118301903,92
sku,SKU0050,AX,7.129713220523582,9.142411475071722,0.3130948049108208,-1.6440192445905482,0.7860302461887066,0.8107426902794485,92
sku,SKU0051,AY,7.325300331640397,9.416790670042667,0.3094249910518441,-1.994279473223587,0.7866590829130741,0.8154301293455612,92
sku,SKU0052,AZ,3.126969949221335,3.8404063204752705,0.47006737798752096,2.1717628160081683,0.7954572677843748,0.7671199605092383,92
sku,SKU0053,BZ,2.7628619453316996,3.2461868658664317,0.5317642237876911,1.5463631279738455,0.8156899218517466,0.750663730517234,92
sku,SKU0054,CX,7.326086956521739,8.658998837600407,0.424968474148802,-0.10869565217391304,1.0442456385748144,0.9820185042091195,92
sku,SKU0055,AY,6.420049437733521,8.355676585803021,0.2782122224547734,-0.8783523355243,0.6602178499796884,0.6780495750932927,92
sku,SKU0056,AY,5.093686689871899,6.411592034615765,0.29772501618056846,-0.7714303881051212,0.7200913157851255,0.7099511068324054,92
sku,SKU0057,AX,6.082242167162051,7.81322267513819,0.2827520360681701,-1.028181948727861,0.6580414622094944,0.6727168420843511,92
sku,SKU0058,AY,3.766629939872858,4.63930885703242,0.28081843960154207,-0.38680982412628667,0.6179248911388232,0.5936442768388904,92
sku,SKU0059,CZ,2.7853040506179894,3.389175032158436,0.5452084524613937,1.3898491233395058,0.8136556704644127,0.7760589952626666,92
sku,SKU0060,AY,4.398360884876437,5.322055949010014,0.32475858861045925,-0.48244776194343936,0.7237952655535638,0.693195013803117,92
sku,SKU0061,AY,6.35767877260239,7.9601390487561865,0.27204951026949764,-1.729713159079597,0.7238042571235412,0.7179337148463445,92
sku,SKU0063,AY,4.007237359535918,5.086104727542181,0.3082490276566091,-0.3881187184537343,0.6772496517573288,0.6838350388696535,92
sku,SKU0066,AX,6.215180081977316,8.038391694477708,0.2752992621771368,-1.108449706104043,0.6760929057632613,0.6999722628614801,92
sku,SKU0067,CZ,3.770740801610333,4.633192743225218,0.5131777422309921,1.5423148838083496,0.9175181660668926,0.8900580447150974,92
sku,SKU0068,AY,3.913359384828611,4.978269221078336,0.2857373519081208,-0.7407555139723696,0.6244930684143707,0.6349108933729651,92
sku,SKU0069,CZ,2.3671621157596774,2.7816176198453118,0.4938297384351255,0.8340306155695684,0.7635234731317867,0.6773320598706294,92
sku,SKU0070,CZ,2.7304995267508336,3.2177375741418697,0.5054445804045808,1.22660209741696,0.8355197592647635,0.7716090415221037,92
sku,SKU0071,AY,4.457504540731759,5.743014867545247,0.32367041653300854,-0.9563688378437007,0.7545470673883954,0.7738918998287591,92
