sku_id,class,total_demand,total_sales,total_lost,avg_inventory,fill_rate,cycle_service_level,cycles_without_stockout,num_cycles,turnover,DOI,stockout_cost,holding_cost,ordering_cost,total_cost
SKU0001,CZ,415.0,415.0,0.0,360.70652173913044,1.0,1.0,2,2,1.1505198131686003,79.96385542168674,0.0,15816.743801369865,50.0,15866.743801369865
SKU0003,CZ,507.0,507.0,0.0,187.5,1.0,1.0,2,2,2.704,34.023668639053255,0.0,2287.9880136986303,50.0,2337.9880136986303
SKU0005,AY,1448.0,1448.0,0.0,472.89130434782606,1.0,1.0,3,3,3.0620144347906035,30.045580110497234,0.0,23862.445027397258,100.0,23962.445027397258
SKU0007,AX,2079.0,2079.0,0.0,358.05434782608694,1.0,1.0,5,5,5.806381105613066,15.844636844636844,0.0,26873.764171232873,200.0,27073.764171232873
SKU0008,CZ,387.0,387.0,0.0,426.5,1.0,1.0,2,2,0.9073856975381008,101.39018087855298,0.0,14286.125794520549,50.0,14336.125794520549
SKU0010,AX,1514.0,1513.0,1.0,391.2717391304348,0.9993394980184941,0.6666666666666666,2,3,3.8694335639081032,23.776089828269487,522.06,10701.957410958905,100.0,11324.017410958904
SKU0011,CZ,492.0,492.0,0.0,356.4891304347826,1.0,1.0,2,2,1.3801262310577187,66.66056910569107,0.0,9271.21769863014,50.0,9321.21769863014
SKU0012,AY,2051.0,1476.0,575.0,163.33695652173913,0.719648951730863,0.25,1,4,12.556864310907034,7.326669917113603,614347.2499999999,11189.24829452055,150.0,625686.4982945204
SKU0013,BZ,505.0,505.0,0.0,564.2065217391304,1.0,1.0,2,2,0.8950623230007514,102.78613861386138,0.0,18827.308849315064,50.0,18877.308849315064
SKU0015,AX,1271.0,1271.0,0.0,413.3369565217391,1.0,1.0,3,3,3.074973045467694,29.918961447678992,0.0,29477.69693150685,100.0,29577.69693150685
SKU0016,CX,2133.0,2133.0,0.0,444.9673913043478,1.0,1.0,4,4,4.793609692942815,19.192217533989684,0.0,6096.248315068493,150.0,6246.248315068493
SKU0017,BZ,517.0,517.0,0.0,387.5652173913044,1.0,1.0,1,1,1.3339690374691495,68.96711798839459,0.0,22466.21063013699,50.0,22516.21063013699
SKU0021,AY,613.0,613.0,0.0,239.0108695652174,1.0,1.0,3,3,2.564736913911501,35.87112561174552,0.0,14023.25883561644,100.0,14123.25883561644
SKU0022,AY,1494.0,1494.0,0.0,241.7391304347826,1.0,1.0,6,6,6.18021582733813,14.886211512717535,0.0,4588.599452054795,250.0,4838.599452054795
SKU0023,CZ,388.0,388.0,0.0,434.60869565217394,1.0,1.0,1,1,0.8927571028411364,103.05154639175258,0.0,3915.145643835617,0.0,3915.145643835617
SKU0024,AX,1008.0,1008.0,0.0,380.89130434782606,1.0,1.0,2,2,2.646424290850979,34.763888888888886,0.0,12680.163712328766,50.0,12730.163712328766
SKU0026,AY,861.0,861.0,0.0,424.14130434782606,1.0,1.0,2,2,2.02998385484739,45.3205574912892,0.0,23961.299404109588,50.0,24011.299404109588
SKU0028,AX,1978.0,1766.0,212.0,216.30434782608697,0.8928210313447927,0.2,1,5,9.144522613065327,10.060667340748232,217323.32000000004,12353.538356164387,200.0,229876.85835616442
SKU0029,AY,1001.0,1001.0,0.0,390.4347826086956,1.0,1.0,2,2,2.5638084632516707,35.884115884115886,0.0,21218.38684931507,50.0,21268.38684931507
SKU0031,AY,1276.0,1232.0,44.0,328.30434782608694,0.9655172413793104,0.6666666666666666,2,3,3.886637531452788,23.670846394984324,70895.88,22324.066027397257,100.0,93319.94602739727
SKU0032,CZ,506.0,506.0,0.0,301.92391304347825,1.0,1.0,2,2,1.6759189257299205,54.89525691699605,0.0,6589.237109589041,50.0,6639.237109589041
SKU0033,AY,695.0,695.0,0.0,338.6847826086956,1.0,1.0,2,2,2.052055585866042,44.833093525179855,0.0,21656.572089041096,50.0,21706.572089041096
SKU0034,CZ,540.0,540.0,0.0,353.82608695652175,1.0,1.0,2,2,1.526173507004178,60.28148148148148,0.0,6783.747616438357,50.0,6833.747616438357
SKU0037,AX,1540.0,1540.0,0.0,433.5326086956522,1.0,1.0,3,3,3.5522126112573646,25.899350649350648,0.0,17584.640856164388,100.0,17684.640856164388
SKU0040,BZ,657.0,657.0,0.0,351.92391304347825,1.0,1.0,2,2,1.866880810451864,49.280060882800605,0.0,9710.217116438356,50.0,9760.217116438356
SKU0042,AY,1663.0,1663.0,0.0,215.8913043478261,1.0,1.0,5,5,7.702950357466519,11.94347564642213,0.0,6876.741356164384,250.0,7126.741356164384
SKU0043,CZ,506.0,506.0,0.0,316.55434782608694,1.0,1.0,2,2,1.5984616969405625,57.555335968379445,0.0,5696.139643835617,50.0,5746.139643835617
SKU0045,CZ,516.0,516.0,0.0,354.4891304347826,1.0,1.0,2,2,1.4556158587066506,63.20348837209303,0.0,17203.357500000002,50.0,17253.357500000002
SKU0046,AX,1219.0,1219.0,0.0,268.6847826086956,1.0,1.0,4,4,4.53691492374287,20.278096800656275,0.0,13937.791219178082,150.0,14087.791219178082
SKU0049,AY,1172.0,1172.0,0.0,335.8369565217391,1.0,1.0,3,3,3.4897886526199957,26.36262798634812,0.0,16412.444075342468,100.0,16512.444075342468
SKU0050,AX,2095.0,2095.0,0.0,229.2391304347826,1.0,1.0,6,6,9.138928402086297,10.066825775656325,0.0,8697.0248630137,300.0,8997.0248630137
SKU0051,AY,2178.0,1639.0,539.0,174.17391304347825,0.7525252525252525,0.0,0,4,12.504742885671494,7.357208448117539,626328.7800000001,10133.314191780823,200.0,636662.094191781
SKU0052,AZ,612.0,612.0,0.0,463.6521739130435,1.0,1.0,2,2,1.3199549887471866,69.69934640522875,0.0,34348.013589041104,50.0,34398.013589041104
SKU0053,BZ,478.0,478.0,0.0,366.64130434782606,1.0,1.0,2,2,1.3037265423497673,70.56694560669455,0.0,20609.17893150685,50.0,20659.17893150685
SKU0054,CX,1586.0,1505.0,81.0,250.57608695652175,0.9489281210592686,0.3333333333333333,1,3,6.329414826703682,14.53530895334174,13076.64,2808.5185684931507,150.0,16035.15856849315
SKU0055,AY,2123.0,1863.0,260.0,205.55434782608697,0.8775317946302402,0.2,1,5,10.328168790650944,8.907677814413567,367684.2,15485.000342465755,200.0,383369.2003424658
SKU0056,AY,1574.0,1321.0,253.0,298.35869565217394,0.8392630241423126,0.3333333333333333,1,3,5.275529163175343,17.439008894536215,170476.46,8455.232034246577,100.0,179031.69203424657
SKU0057,AX,1979.0,1979.0,0.0,355.30434782608694,1.0,1.0,4,4,5.569872736172296,16.517433046993432,0.0,25213.866410958904,150.0,25363.866410958904
SKU0058,AY,1234.0,1234.0,0.0,296.4673913043478,1.0,1.0,4,4,4.162346471127406,22.10291734197731,0.0,20767.857534246577,150.0,20917.857534246577
SKU0059,CZ,470.0,470.0,0.0,301.0,1.0,1.0,3,3,1.5614617940199336,58.91914893617021,0.0,522.923589041096,100.0,622.923589041096
SKU0060,AY,1246.0,1246.0,0.0,259.9891304347826,1.0,1.0,4,4,4.792508047995317,19.19662921348315,0.0,15460.52075342466,200.0,15660.52075342466
SKU0061,AY,2150.0,2150.0,0.0,365.7717391304348,1.0,1.0,5,5,5.877982823690232,15.651627906976746,0.0,18813.444349315072,200.0,19013.444349315072
SKU0063,AY,1196.0,1196.0,0.0,433.94565217391306,1.0,1.0,2,2,2.7561055030934547,33.380434782608695,0.0,25839.751582191784,100.0,25939.751582191784
SKU0066,AX,2077.0,2054.0,23.0,460.60869565217394,0.9889263360616274,0.6666666666666666,2,3,4.50925051916179,20.402503610977373,9943.82,9094.586191780823,100.0,19138.40619178082
SKU0067,CZ,676.0,676.0,0.0,470.7608695652174,1.0,1.0,2,2,1.435973216347264,64.0680473372781,0.0,1347.356301369863,50.0,1397.356301369863
SKU0068,AY,1260.0,1240.0,20.0,268.1630434782609,0.9841269841269841,0.6666666666666666,2,3,4.698634023752584,19.580158730158733,14900.4,18592.809109589045,150.0,33643.20910958904
SKU0069,CZ,441.0,441.0,0.0,428.94565217391306,1.0,1.0,2,2,1.0281022730152294,89.48526077097506,0.0,7009.547801369864,50.0,7059.547801369864
