sku_id,class,current_rop,current_order_quantity,unit_cost,current_safety_stock,proposed_rop,proposed_safety_stock,proposed_order_quantity,target_service_level,calibration_service_floor,calibration_fill_rate,calibration_service_floor_met,selection_status,current_fill_rate,current_avg_inventory,current_total_cost,proposed_fill_rate,proposed_avg_inventory,proposed_total_cost,intervention,rop_delta_units,safety_stock_delta_units,order_quantity_delta_units,fill_delta_pp,avg_on_hand_delta_units,avg_on_hand_value_delta,modeled_cost_saving,policy_mode,recommended_action,priority_rank
SKU0128,AX,72.0,374.0,1159.16,11.0,237.61178562375912,51.102463673691005,187.0,99,0.97,0.9530201342281879,False,no_feasible_candidate_best_service,0.832421340629275,151.42391304347825,422638.95065753424,1.0,152.66304347826087,11550.960410958907,protect_strategic_value,165.61178562375912,40.102463673691005,-187.0,16.757865937072502,1.2391304347826235,1436.350434782626,411087.9902465753,daily_dynamic_rop_next_day_forecast,Review SLA/grid feasibility,1
SKU0055,AY,91.0,476.0,1195.5,33.0,202.41889938653927,15.42906249974797,238.0,97,0.97,0.9186557788944724,False,no_feasible_candidate_best_service,0.8775317946302402,205.55434782608697,383369.2003424658,0.9981158737635422,121.53260869565217,15262.08102739726,protect_strategic_value,111.41889938653927,-17.57093750025203,-238.0,12.058407913330193,-84.0217391304348,-100447.9891304348,368107.1193150685,daily_dynamic_rop_next_day_forecast,Review SLA/grid feasibility,2
SKU0012,AY,100.0,500.0,1087.13,26.0,366.9184390169065,9.994316537248457,250.0,97,0.97,0.8467609339033213,False,no_feasible_candidate_best_service,0.719648951730863,163.33695652173913,625686.4982945204,0.8659190638712823,127.71739130434783,303017.4126712328,protect_strategic_value,266.9184390169065,-16.00568346275154,-250.0,14.627011214041929,-35.6195652173913,-38723.09793478261,322669.0856232876,daily_dynamic_rop_next_day_forecast,Review SLA/grid feasibility,3
SKU0051,AY,167.0,516.0,923.28,28.0,365.9874501225984,7.1529909225598525,258.0,97,0.97,0.9433715220949264,False,no_feasible_candidate_best_service,0.7525252525252525,174.17391304347825,636662.094191781,0.8700642791551882,116.32608695652173,336069.42887671234,protect_strategic_value,198.98745012259837,-20.84700907744015,-258.0,11.753902662993577,-57.847826086956516,-53409.74086956521,300592.6653150687,daily_dynamic_rop_next_day_forecast,Review SLA/grid feasibility,4
SKU0121,AY,154.0,602.0,1059.26,55.0,280.4373349200766,22.7744031296084,301.0,97,0.97,1.0,True,minimum_cost_feasible,0.8988095238095238,272.55434782608694,237817.867739726,0.9831349206349206,148.69565217391303,46854.36109589041,protect_strategic_value,126.43733492007658,-32.2255968703916,-301.0,8.432539682539675,-123.8586956521739,-131198.56195652173,190963.5066438356,daily_dynamic_rop_next_day_forecast,raise ROP + lower Q,5
SKU0074,AX,104.0,322.0,687.12,29.0,222.93816451354382,16.96508789045402,161.0,99,0.97,0.879950495049505,False,no_feasible_candidate_best_service,0.7803538743136058,123.73913043478261,274351.2534794521,0.9133618059792556,79.8695652173913,110012.61024657535,protect_strategic_value,118.93816451354382,-12.034912109545981,-161.0,13.300793166564983,-43.86956521739131,-30143.65565217392,164338.64323287676,daily_dynamic_rop_next_day_forecast,Review SLA/grid feasibility,6
SKU0056,AY,124.0,760.0,449.73,63.0,252.29208808997288,0.0,380.0,97,0.97,1.0,True,minimum_cost_feasible,0.8392630241423126,298.35869565217394,179031.69203424657,0.9593392630241423,187.8804347826087,48648.85195205479,protect_strategic_value,128.29208808997288,-63.0,-380.0,12.007623888182973,-110.47826086956525,-49685.38826086958,130382.84008219177,daily_dynamic_rop_next_day_forecast,raise ROP + lower Q,7
SKU0028,AX,86.0,496.0,906.34,29.0,194.9475922549112,9.409117639953612,248.0,99,0.97,1.0,True,minimum_cost_feasible,0.8928210313447927,216.30434782608697,229876.85835616442,0.9539939332659252,117.81521739130434,100413.65332876713,protect_strategic_value,108.9475922549112,-19.590882360046386,-248.0,6.117290192113245,-98.48913043478262,-89264.63847826088,129463.20502739729,daily_dynamic_rop_next_day_forecast,raise ROP + lower Q,8
SKU0105,AX,123.0,417.0,1132.87,55.0,233.41776649292183,23.381016385174895,209.0,99,0.97,1.0,True,minimum_cost_feasible,0.8637931034482759,174.02173913043478,200286.25308219175,0.95,100.29347826086956,76417.06321232877,protect_strategic_value,110.41776649292183,-31.618983614825105,-208.0,8.62068965517241,-73.72826086956522,-83524.53489130434,123869.18986986298,daily_dynamic_rop_next_day_forecast,raise ROP + lower Q,9
SKU0117,AX,174.0,612.0,920.14,34.0,206.68623193146948,0.0,459.0,99,0.97,0.949685534591195,False,no_feasible_candidate_best_service,0.9403244495944381,277.95652173913044,105621.90512328768,0.9895712630359212,224.92391304347825,28856.948917808222,protect_strategic_value,32.68623193146948,-34.0,-153.0,4.924681344148318,-53.032608695652186,-48797.4245652174,76764.95620547945,daily_dynamic_rop_next_day_forecast,Review SLA/grid feasibility,10
