scenario_id,ordering_cost_per_order,annual_holding_rate,stockout_margin_multiplier,old_fill_rate,new_fill_rate,fill_rate_delta_percentage_points,old_avg_inventory,new_avg_inventory,avg_inventory_change_pct,old_stockout_cost,new_stockout_cost,old_holding_cost,new_holding_cost,old_ordering_cost,new_ordering_cost,old_total_cost,new_total_cost,total_cost_savings,total_cost_change_pct
cost_sensitivity_001,25.0,0.15,0.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,1805855.64,756987.785,1009285.4824438357,577578.1987273972,5950.0,10250.0,2821091.1224438353,1344815.9837273974,1476275.1387164379,-52.329934576433686
cost_sensitivity_002,25.0,0.15,1.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,3611711.28,1513975.57,1009285.4824438357,577578.1987273972,5950.0,10250.0,4626946.762443836,2101803.7687273975,2525142.9937164383,-54.57471467388836
cost_sensitivity_003,25.0,0.15,1.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,5417566.92,2270963.3549999995,1009285.4824438357,577578.1987273972,5950.0,10250.0,6432802.4024438355,2858791.553727397,3574010.8487164383,-55.559157970695075
cost_sensitivity_004,25.0,0.15,2.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,7223422.56,3027951.14,1009285.4824438357,577578.1987273972,5950.0,10250.0,8238658.042443836,3615779.338727397,4622878.703716439,-56.11203523559709
cost_sensitivity_005,25.0,0.25,0.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,1805855.64,756987.785,1682142.4707397257,962630.3312123289,5950.0,10250.0,3493948.110739726,1729868.1162123287,1764079.9945273974,-50.48958767031926
cost_sensitivity_006,25.0,0.25,1.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,3611711.28,1513975.57,1682142.4707397257,962630.3312123289,5950.0,10250.0,5299803.750739725,2486855.9012123286,2812947.8495273967,-53.07645305045072
cost_sensitivity_007,25.0,0.25,1.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,5417566.92,2270963.3549999995,1682142.4707397257,962630.3312123289,5950.0,10250.0,7105659.390739726,3243843.6862123287,3861815.704527397,-54.34844948464899
cost_sensitivity_008,25.0,0.25,2.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,7223422.56,3027951.14,1682142.4707397257,962630.3312123289,5950.0,10250.0,8911515.030739726,4000831.4712123293,4910683.559527397,-55.104923714859865
cost_sensitivity_009,25.0,0.35,0.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,1805855.64,756987.785,2354999.4590356164,1347682.4636972607,5950.0,10250.0,4166805.0990356165,2114920.2486972604,2051884.850338356,-49.24360035014005
cost_sensitivity_010,25.0,0.35,1.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,3611711.28,1513975.57,2354999.4590356164,1347682.4636972607,5950.0,10250.0,5972660.739035618,2871908.0336972596,3100752.705338358,-51.91576821152284
