scenario_id,scenario_seed,scenario_probability,horizon_start,horizon_end,horizon_days,sku_count,calibration_window_start,calibration_window_end,forecast_anchor_window_start,forecast_anchor_window_end,residual_block_days,lead_time_multiplier,ordering_cost_per_order,annual_holding_rate,stockout_margin_multiplier,mean_stressed_lead_time_days,sampled_residual_mean,sampled_residual_std,clipped_negative_demand_sku_days,total_demand,old_fill_rate,new_fill_rate,fill_rate_delta_percentage_points,old_cycle_service_level,new_cycle_service_level,old_avg_inventory,new_avg_inventory,avg_inventory_change_pct,old_num_orders,new_num_orders,old_stockout_cost,new_stockout_cost,old_holding_cost,new_holding_cost,old_ordering_cost,new_ordering_cost,old_total_cost,new_total_cost,total_cost_savings,total_cost_change_pct,demand_sampling_method,forecast_anchor,lead_time_sampling_method,policy_contract_semantics,pairing_semantics,evaluation_semantics
policy_stress_00001,42,0.01,2025-10-01,2025-12-31,92,109,2025-05-31,2025-09-30,2025-10-01,2025-12-31,7,1.2,50.0,0.25,1.0,8.082568807339449,-0.9232503427499026,5.715352128830948,132,118427.20203141408,0.9604117135883603,0.989933284066073,2.9521570477712644,0.8167202572347267,0.8872017353579176,36395.05755633999,22410.79529862602,-38.42352010589944,222.0,396.0,4266991.022489392,1033438.5440269848,1644977.2418540912,991526.3965721953,11100.0,19800.0,5923068.264343483,2044764.9405991803,3878303.323744303,-65.47794404281066,sku_calibration_residual_moving_block_bootstrap,sku_daily_final_forecast_vector,paired_scenario_level_multiplier_rounded_up,old_static_rop_new_dynamic_next_day_forecast_rop,common_demand_path_initial_inventory_and_lead_time_shock,forward_stress_sensitivity_not_prediction_interval_or_causal_savings
policy_stress_00002,42,0.01,2025-10-01,2025-12-31,92,109,2025-05-31,2025-09-30,2025-10-01,2025-12-31,7,1.5,50.0,0.25,1.0,10.174311926605505,-0.9872535677831573,5.702410995916664,138,117823.3750330779,0.9364348405765759,0.9840595815034058,4.762474092682989,0.7366666666666667,0.8910675381263616,34736.771567733,22622.270514287804,-34.875149608601966,214.0,405.0,6463904.24631302,1738602.2433242635,1566185.743199959,997920.5341197349,10700.0,20250.0,8040789.989512978,2756772.7774439985,5284017.21206898,-65.7151501153561,sku_calibration_residual_moving_block_bootstrap,sku_daily_final_forecast_vector,paired_scenario_level_multiplier_rounded_up,old_static_rop_new_dynamic_next_day_forecast_rop,common_demand_path_initial_inventory_and_lead_time_shock,forward_stress_sensitivity_not_prediction_interval_or_causal_savings
policy_stress_00003,42,0.01,2025-10-01,2025-12-31,92,109,2025-05-31,2025-09-30,2025-10-01,2025-12-31,7,1.0,50.0,0.25,1.0,6.5504587155963305,-1.0125497054656571,5.627718217476957,130,117501.5965457108,0.9745587172005519,0.9923030407797905,1.7744323579238608,0.8481012658227848,0.9168490153172867,37925.50622854155,22304.04284400025,-41.189861225333026,218.0,379.0,2883328.3784102723,834015.9982447335,1716664.3342541417,989930.2668452356,10900.0,18950.0,4610892.712664414,1842896.2650899692,2767996.447574445,-60.031681933777904,sku_calibration_residual_moving_block_bootstrap,sku_daily_final_forecast_vector,paired_scenario_level_multiplier_rounded_up,old_static_rop_new_dynamic_next_day_forecast_rop,common_demand_path_initial_inventory_and_lead_time_shock,forward_stress_sensitivity_not_prediction_interval_or_causal_savings
policy_stress_00004,42,0.01,2025-10-01,2025-12-31,92,109,2025-05-31,2025-09-30,2025-10-01,2025-12-31,7,1.2,50.0,0.25,1.0,8.082568807339449,-1.0167756637252439,5.619522775276397,129,117445.91864975063,0.9579622980284023,0.9884832124448643,3.0520914416461986,0.8051948051948052,0.893569844789357,36434.2461560209,22538.89370239194,-38.13816373234526,215.0,388.0,4560388.634146268,1199303.1271914807,1644419.5858629406,994023.351781586,10750.0,19400.0,6215558.220009207,2212726.478973067,4002831.74103614,-64.4001970434477,sku_calibration_residual_moving_block_bootstrap,sku_daily_final_forecast_vector,paired_scenario_level_multiplier_rounded_up,old_static_rop_new_dynamic_next_day_forecast_rop,common_demand_path_initial_inventory_and_lead_time_shock,forward_stress_sensitivity_not_prediction_interval_or_causal_savings
policy_stress_00005,42,0.01,2025-10-01,2025-12-31,92,109,2025-05-31,2025-09-30,2025-10-01,2025-12-31,7,1.2,50.0,0.25,1.0,8.082568807339449,-0.9777101744256669,5.551528153572369,142,117836.54890764374,0.9572269838280958,0.9876582643118932,3.0431280483797396,0.805921052631579,0.8893805309734514,36198.64096445069,22443.13168445948,-38.000071034434626,221.0,397.0,4587009.985526027,1279593.4364278116,1637252.0694380552,993590.3318532615,11050.0,19850.0,6235312.05496408,2293033.7682810733,3942278.286683007,-63.22503592333386,sku_calibration_residual_moving_block_bootstrap,sku_daily_final_forecast_vector,paired_scenario_level_multiplier_rounded_up,old_static_rop_new_dynamic_next_day_forecast_rop,common_demand_path_initial_inventory_and_lead_time_shock,forward_stress_sensitivity_not_prediction_interval_or_causal_savings
policy_stress_00006,42,0.01,2025-10-01,2025-12-31,92,109,2025-05-31,2025-09-30,2025-10-01,2025-12-31,7,1.2,50.0,0.25,1.0,8.082568807339449,-1.0148325210653153,5.567370162416039,107,117496.58407452173,0.9610032418158426,0.9881948649622828,2.719162314644019,0.8006430868167203,0.8706140350877193,36339.068451076935,22288.503655648157,-38.66517606070439,219.0,392.0,4119040.130236506,1173726.5542622146,1641784.8456550506,991357.858477101,10950.0,19600.0,5771774.9758915575,2184684.4127393155,3587090.563152242,-62.14882905406667,sku_calibration_residual_moving_block_bootstrap,sku_daily_final_forecast_vector,paired_scenario_level_multiplier_rounded_up,old_static_rop_new_dynamic_next_day_forecast_rop,common_demand_path_initial_inventory_and_lead_time_shock,forward_stress_sensitivity_not_prediction_interval_or_causal_savings
policy_stress_00007,42,0.01,2025-10-01,2025-12-31,92,109,2025-05-31,2025-09-30,2025-10-01,2025-12-31,7,1.2,50.0,0.25,1.0,8.082568807339449,-0.9113816827619757,5.665198242461012,148,118580.35403808861,0.9582654196125335,0.9893722739256593,3.1106854313125765,0.8058252427184466,0.8925438596491229,36716.30547998171,22369.136460010843,-39.07574259559738,217.0,397.0,4490790.6585921245,1117701.276029204,1660758.3034169844,988892.7523922792,10850.0,19850.0,6162398.962009109,2126444.0284214835,4035954.933587625,-65.49324310985205,sku_calibration_residual_moving_block_bootstrap,sku_daily_final_forecast_vector,paired_scenario_level_multiplier_rounded_up,old_static_rop_new_dynamic_next_day_forecast_rop,common_demand_path_initial_inventory_and_lead_time_shock,forward_stress_sensitivity_not_prediction_interval_or_causal_savings
policy_stress_00008,42,0.01,2025-10-01,2025-12-31,92,109,2025-05-31,2025-09-30,2025-10-01,2025-12-31,7,1.2,50.0,0.25,1.0,8.082568807339449,-0.8932314908509986,5.64277531634756,142,118729.64254133747,0.9553186671051243,0.9876948386638568,3.2376171558732514,0.7896440129449838,0.8842794759825328,36387.644032202166,22359.313149303765,-38.55245717607788,222.0,391.0,4915254.5021846425,1381096.8501820005,1644149.0825033733,987826.4474528994,11100.0,19550.0,6570503.584688016,2388473.2976349,4182030.287053116,-63.64855042159891,sku_calibration_residual_moving_block_bootstrap,sku_daily_final_forecast_vector,paired_scenario_level_multiplier_rounded_up,old_static_rop_new_dynamic_next_day_forecast_rop,common_demand_path_initial_inventory_and_lead_time_shock,forward_stress_sensitivity_not_prediction_interval_or_causal_savings
policy_stress_00009,42,0.01,2025-10-01,2025-12-31,92,109,2025-05-31,2025-09-30,2025-10-01,2025-12-31,7,1.0,50.0,0.25,1.0,6.5504587155963305,-0.8148361190549506,5.678466060955434,154,119518.99902095374,0.9730953675777352,0.989343291282958,1.6247923705222767,0.8517350157728707,0.8809523809523809,38069.76469395117,22162.984088487472,-41.783238570925796,224.0,388.0,3063458.9598675016,1096620.9270121683,1725704.1408716196,987577.9537618369,11200.0,19400.0,4800363.1007391205,2103598.8807740053,2696764.219965115,-56.17833825007716,sku_calibration_residual_moving_block_bootstrap,sku_daily_final_forecast_vector,paired_scenario_level_multiplier_rounded_up,old_static_rop_new_dynamic_next_day_forecast_rop,common_demand_path_initial_inventory_and_lead_time_shock,forward_stress_sensitivity_not_prediction_interval_or_causal_savings
policy_stress_00010,42,0.01,2025-10-01,2025-12-31,92,109,2025-05-31,2025-09-30,2025-10-01,2025-12-31,7,0.8,50.0,0.25,1.0,5.522935779816514,-0.9740129157552385,5.612200085757565,145,117898.59460374789,0.9824187367720898,0.9928151249857287,1.0396388213638863,0.8670886075949367,0.9070796460176991,39021.12676027862,22182.26489263346,-43.15319229783545,225.0,379.0,1950691.170472176,719173.8248666064,1765251.2617465772,984623.0501243282,11250.0,18950.0,3727192.4322187533,1722746.8749909343,2004445.557227819,-53.77896617037818,sku_calibration_residual_moving_block_bootstrap,sku_daily_final_forecast_vector,paired_scenario_level_multiplier_rounded_up,old_static_rop_new_dynamic_next_day_forecast_rop,common_demand_path_initial_inventory_and_lead_time_shock,forward_stress_sensitivity_not_prediction_interval_or_causal_savings
policy_stress_00011,42,0.01,2025-10-01,2025-12-31,92,109,2025-05-31,2025-09-30,2025-10-01,2025-12-31,7,0.8,50.0,0.25,1.0,5.522935779816514,-1.002189749305231,5.596825988159105,134,117632.7135387893,0.9839794424471139,0.9922624460097234,0.828300356260947,0.8949044585987261,0.9161147902869757,38993.4029749834,22247.534670010387,-42.94538826405198,220.0,371.0,1771593.2091135462,749825.1831652831,1768569.2297543795,988082.5061528494,11000.0,18550.0,3551162.438867925,1756457.6893181321,1794704.749549793,-50.538514653864354,sku_calibration_residual_moving_block_bootstrap,sku_daily_final_forecast_vector,paired_scenario_level_multiplier_rounded_up,old_static_rop_new_dynamic_next_day_forecast_rop,common_demand_path_initial_inventory_and_lead_time_shock,forward_stress_sensitivity_not_prediction_interval_or_causal_savings
policy_stress_00012,42,0.01,2025-10-01,2025-12-31,92,109,2025-05-31,2025-09-30,2025-10-01,2025-12-31,7,1.5,50.0,0.25,1.0,10.174311926605505,-0.9890382529378465,5.6685122995489285,113,117739.54983108284,0.9329139580688943,0.9834074862382061,5.049352816931174,0.7290969899665551,0.8915929203539823,35061.81362703837,22488.95253739333,-35.859129317684,209.0,403.0,6687347.457455099,1821618.522343216,1574853.6408040999,992824.3610560318,10450.0,20150.0,8272651.098259198,2834592.8833992486,5438058.214859949,-65.73537491511362,sku_calibration_residual_moving_block_bootstrap,sku_daily_final_forecast_vector,paired_scenario_level_multiplier_rounded_up,old_static_rop_new_dynamic_next_day_forecast_rop,common_demand_path_initial_inventory_and_lead_time_shock,forward_stress_sensitivity_not_prediction_interval_or_causal_savings
policy_stress_00013,42,0.01,2025-10-01,2025-12-31,92,109,2025-05-31,2025-09-30,2025-10-01,2025-12-31,7,1.0,50.0,0.25,1.0,6.5504587155963305,-1.0233994608049761,5.63646741442182,130,117398.49210559812,0.9730193665983509,0.9903835694399815,1.736420284163065,0.853125,0.9074889867841409,37961.38895253084,22415.342573814967,-40.95225914456283,219.0,382.0,2932975.873233578,953348.1895935715,1715830.2559288987,992454.8734887304,10950.0,19100.0,4659756.129162476,1964903.0630823018,2694853.0660801744,-57.832491473422564,sku_calibration_residual_moving_block_bootstrap,sku_daily_final_forecast_vector,paired_scenario_level_multiplier_rounded_up,old_static_rop_new_dynamic_next_day_forecast_rop,common_demand_path_initial_inventory_and_lead_time_shock,forward_stress_sensitivity_not_prediction_interval_or_causal_savings
policy_stress_00014,42,0.01,2025-10-01,2025-12-31,92,109,2025-05-31,2025-09-30,2025-10-01,2025-12-31,7,1.0,50.0,0.25,1.0,6.5504587155963305,-0.9736259945636992,5.622014748175938,113,117898.88016575557,0.9720281157215451,0.9907427448867496,1.87146291652045,0.8459119496855346,0.9116997792494481,38034.51223736136,22251.554850100794,-41.49641065136874,219.0,381.0,3118641.800504612,916535.8655696656,1722410.5316249267,989611.3482653864,10950.0,19050.0,4852002.332129538,1925197.2138350522,2926805.118294486,-60.321593394822514,sku_calibration_residual_moving_block_bootstrap,sku_daily_final_forecast_vector,paired_scenario_level_multiplier_rounded_up,old_static_rop_new_dynamic_next_day_forecast_rop,common_demand_path_initial_inventory_and_lead_time_shock,forward_stress_sensitivity_not_prediction_interval_or_causal_savings
