sku_id,class
SKU0057,AX
SKU0055,AY
SKU0128,AX
SKU0051,AY
SKU0121,AY
SKU0012,AY
SKU0028,AX
SKU0031,AY
SKU0077,AX
SKU0095,AY
SKU0147,AX
SKU0120,AY
SKU0109,AX
SKU0015,AX
SKU0106,AX
SKU0091,AX
SKU0102,AX
SKU0150,AY
SKU0100,AY
SKU0117,AX
SKU0058,AY
SKU0037,AX
SKU0123,AX
SKU0118,AX
SKU0105,AX
SKU0060,AY
SKU0063,AY
SKU0071,AY
SKU0074,AX
SKU0082,AX
SKU0142,AX
SKU0133,AY
SKU0050,AX
SKU0084,AX
SKU0026,AY
SKU0061,AY
SKU0007,AX
SKU0005,AY
SKU0144,AY
SKU0083,AX
SKU0136,AY
SKU0056,AY
SKU0124,AY
SKU0052,AZ
SKU0068,AY
SKU0090,AY
SKU0087,AY
SKU0066,AX
SKU0103,AY
SKU0093,AX
SKU0125,AY
SKU0072,AY
SKU0010,AX
SKU0046,AX
SKU0119,AY
SKU0033,AY
SKU0049,AY
SKU0024,AX
SKU0097,AX
SKU0029,AY
SKU0042,AY
SKU0094,AY
SKU0134,AX
SKU0107,AY
SKU0114,AZ
SKU0021,AY
SKU0022,AY
SKU0137,AY
SKU0073,AY
SKU0014,BY
SKU0062,BY
SKU0111,BZ
SKU0078,BZ
SKU0143,BZ
SKU0039,BX
SKU0089,BY
SKU0018,BY
SKU0065,BY
SKU0041,BX
SKU0002,BY
SKU0019,BY
SKU0101,BZ
SKU0146,BX
SKU0092,BZ
SKU0148,BY
SKU0113,BY
SKU0053,BZ
SKU0098,BY
SKU0009,BY
SKU0006,BY
SKU0044,BY
SKU0139,BZ
SKU0027,BX
SKU0099,BY
SKU0108,BZ
SKU0141,BY
SKU0040,BZ
SKU0126,BY
SKU0017,BZ
SKU0076,BZ
SKU0132,BX
SKU0130,BZ
SKU0020,BY
SKU0138,BY
SKU0013,BZ
SKU0131,BZ
SKU0127,BZ
SKU0115,BY
SKU0004,BY
SKU0088,CX
SKU0016,CX
SKU0054,CX
SKU0129,CZ
SKU0075,CY
SKU0045,CZ
SKU0008,CZ
SKU0064,CY
SKU0112,CZ
SKU0034,CZ
SKU0032,CZ
SKU0001,CZ
SKU0025,CY
SKU0038,CY
SKU0149,CY
SKU0011,CZ
SKU0047,CY
SKU0145,CZ
SKU0085,CZ
SKU0035,CY
SKU0116,CY
SKU0043,CZ
SKU0122,CX
SKU0140,CY
SKU0069,CZ
SKU0036,CY
SKU0079,CZ
SKU0030,CY
SKU0023,CZ
SKU0086,CY
SKU0048,CY
SKU0080,CY
SKU0135,CY
SKU0003,CZ
SKU0081,CZ
SKU0104,CZ
SKU0070,CZ
SKU0110,CY
SKU0067,CZ
SKU0059,CZ
SKU0096,CZ
