feature,importance
rolling_mean_30,880
sku_id,866
month_sin,289
ewm_a03,275
month,266
month_index,125
rolling_diff_30_60,117
month_cos,106
rolling_growth_30_60,85
rolling_diff_60_90,84
ewm_a07,66
rolling_diff_30_90,57
rolling_growth_30_90,54
lag_14,50
rolling_growth_60_90,44
ewm_a05,40
lag_1,37
rolling_mean_60,29
year,16
rolling_cv_30,12
lag_60,11
lag_7,11
rolling_std_30,10
rolling_cv_60,10
lag_30,9
rolling_cv_90,9
day_of_month,6
dow_cos,4
dow_sin,2
rolling_mean_90,2
rolling_std_90,2
day_of_week,1
rolling_std_60,1
quarter,0
lag_90,0
is_month_end,0
is_weekend,0
is_month_start,0
